nation	o_year	sum_profit
ARGENTINA	1998	15766.8003
ARGENTINA	1997	1091.2413
ARGENTINA	1996	-502.3758
ARGENTINA	1995	9652.5238
ARGENTINA	1994	20175.7127
ARGENTINA	1993	1186.1496
ARGENTINA	1992	8870.0300
ETHIOPIA	1998	36341.8956
ETHIOPIA	1997	13265.8620
ETHIOPIA	1996	91304.7488
ETHIOPIA	1995	117109.3185
ETHIOPIA	1994	58978.5515
ETHIOPIA	1993	135714.5272
ETHIOPIA	1992	54987.0712
IRAQ	1998	31109.0680
IRAQ	1997	49689.3730
IRAQ	1995	13495.7100
IRAQ	1994	31495.2164
IRAQ	1993	9054.1952
IRAQ	1992	28553.1600
KENYA	1998	49935.0800
KENYA	1997	137231.9912
KENYA	1996	64818.5384
KENYA	1995	3816.3132
KENYA	1994	58005.1044
KENYA	1993	81471.9776
KENYA	1992	101264.8808
MOROCCO	1998	28346.4594
MOROCCO	1997	65228.1356
MOROCCO	1996	32076.5716
MOROCCO	1995	77177.1312
MOROCCO	1994	115496.7256
MOROCCO	1993	127250.4220
MOROCCO	1992	150691.1602
PERU	1998	9359.1758
PERU	1997	22160.0160
PERU	1996	61368.1954
PERU	1995	30864.7528
PERU	1994	2402.7600
PERU	1993	50819.1594
PERU	1992	26655.3924
UNITED KINGDOM	1998	40056.6160
UNITED KINGDOM	1997	71629.1978
UNITED KINGDOM	1996	139131.6940
UNITED KINGDOM	1995	207154.6096
UNITED KINGDOM	1994	111860.5628
UNITED KINGDOM	1993	279051.2760
UNITED KINGDOM	1992	54503.7662
UNITED STATES	1998	49815.5460
UNITED STATES	1997	53428.3592
UNITED STATES	1996	54340.1568
UNITED STATES	1995	27734.1400
UNITED STATES	1994	41228.1036
UNITED STATES	1993	23514.3800
UNITED STATES	1992	73299.5248
